Provincia,anio,M,F,total
Buenos Aires,2010,7678592,8038350,15716942
Buenos Aires,2011,7776525,8133082,15909607
Buenos Aires,2012,7873684,8226934,16100618
Buenos Aires,2013,7969864,8319735,16289599
Buenos Aires,2014,8064849,8411300,16476149
Buenos Aires,2015,8158456,8501475,16659931
Buenos Aires,2016,8250777,8590358,16841135
Buenos Aires,2017,8341933,8678079,17020012
Buenos Aires,2018,8431831,8764565,17196396
Buenos Aires,2019,8520388,8849756,17370144
Buenos Aires,2020,8607537,8933604,17541141
Buenos Aires,2021,8693385,9016213,17709598
Buenos Aires,2022,8778048,9097695,17875743
Buenos Aires,2023,8861488,9178021,18039509
Buenos Aires,2024,8943682,9257169,18200851
Buenos Aires,2025,9024621,9335132,18359753
CABA,2010,1405566,1622915,3028481
CABA,2011,1409835,1623804,3033639
CABA,2012,1414105,1624755,3038860
CABA,2013,1418339,1625737,3044076
CABA,2014,1422507,1626722,3049229
CABA,2015,1426582,1627685,3054267
CABA,2016,1430531,1628591,3059122
CABA,2017,1434323,1629405,3063728
CABA,2018,1437936,1630107,3068043
CABA,2019,1441350,1630679,3072029
CABA,2020,1444545,1631101,3075646
CABA,2021,1447495,1631341,3078836
CABA,2022,1450179,1631371,3081550
CABA,2023,1452588,1631182,3083770
CABA,2024,1454716,1630767,3085483
CABA,2025,1456560,1630120,3086680
Catamarca,2010,188677,188999,377676
Catamarca,2011,190654,190894,381548
Catamarca,2012,192625,192783,385408
Catamarca,2013,194590,194666,389256
Catamarca,2014,196547,196541,393088
Catamarca,2015,198490,198405,396895
Catamarca,2016,200420,200258,400678
Catamarca,2017,202334,202099,404433
Catamarca,2018,204228,203924,408152
Catamarca,2019,206096,205728,411824
Catamarca,2020,207933,207505,415438
Catamarca,2021,209737,209254,418991
Catamarca,2022,211503,210973,422476
Catamarca,2023,213228,212657,425885
Catamarca,2024,214907,214301,429208
Catamarca,2025,216536,215902,432438
Chaco,2010,534347,545670,1080017
Chaco,2011,540391,552234,1092625
Chaco,2012,546471,558809,1105280
Chaco,2013,552570,565383,1117953
Chaco,2014,558670,571938,1130608
Chaco,2015,564746,578455,1143201
Chaco,2016,570793,584930,1155723
Chaco,2017,576806,591359,1168165
Chaco,2018,582759,597718,1180477
Chaco,2019,588629,603987,1192616
Chaco,2020,594394,610147,1204541
Chaco,2021,600052,616195,1216247
Chaco,2022,605603,622133,1227736
Chaco,2023,611037,627952,1238989
Chaco,2024,616347,633645,1249992
Chaco,2025,621528,639209,1260737
Chubut,2010,256540,256893,513433
Chubut,2011,262005,262196,524201
Chubut,2012,267460,267485,534945
Chubut,2013,272901,272755,545656
Chubut,2014,278319,278000,556319
Chubut,2015,283708,283214,566922
Chubut,2016,289068,288398,577466
